year,domestic_space,domestic_water,services_space,services_water,hdd
2008,284.5977,70.4429,83.1080,21.8760,2101.8
2009,277.0615,71.0709,69.9196,20.5153,2067.2
2010,325.6284,67.3028,74.4204,20.8293,2498.0
2011,231.5300,67.8262,63.4300,20.4107,1815.3
2012,277.6895,68.6635,65.6281,20.6200,2185.1
2013,279.5736,69.0822,63.8487,20.9340,2250.3
2016,249.9769,68.234,91.927,13.13,2021.4
2017,244.1454,62.7359,90.5716,12.94,1888.8
2018,259.5361,67.343,92.68,13.209,1992.0
2050,146.5328,76.052,40.93,23.537,2498.0
