hour,diff
0,-1.5711607305936064
1,-1.8249826484018268
2,-2.0522511415525093
3,-2.217862100456621
4,-2.316374429223742
5,-2.2796182648401815
6,-1.9941388127853876
7,-1.5061552511415526
8,-0.8113196347031956
9,0.009307762557076606
10,0.8857159817351603
11,1.6106283105022843
12,2.1581899543379
13,2.532762557077628
14,2.723151598173516
15,2.69846118721461
16,2.4369899543379008
17,1.9799187214611873
18,1.4113680365296808
19,0.7913981735159823
20,0.08710776255707708
21,-0.4972374429223747
22,-0.9631059360730599
23,-1.2907936073059356
